unique_id,description,n_delta_y,x1,x2,y1,y2,type,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm,unique_id1,awdt_2018,peak_2018_6_to_7_am,peak_2018_7_to_8_am,peak_2018_8_to_9_am,peak_2018_9_to_10_am,peak_2018_3_to_4_pm,peak_2018_4_to_5_pm,peak_2018_5_to_6_pm,peak_2018_6_to_7_pm
i93_nb_580,I-93 northbound between Interchange 41 on-ramp from Route 125 southbound and the MPO boundary,2,150,150,10,110,main,77000,2850,4500,4700,3400,6650,7250,7250,5850,i93_nb_580,83000,3400,4900,5000,3900,6200,6700,6500,6000
i93_nb_570,I-93 northbound between Interchange 40 on-ramp from Route 125 northbound and on-ramp from Route 129 southbound,1,150,150,110,160,main,74000,2750,4350,4550,3300,6300,6850,6800,5650,i93_nb_570,78000,3300,4650,4800,3700,5800,6150,5900,5700
i93_nb_560,I-93 northbound between Interchange 40 off-ramp and Interchagne 40 on-ramp from Route 125 northbound,3,150,150,160,310,main,73500,2700,4300,4500,3250,6250,6800,6750,5600,i93_nb_560,77000,3250,4550,4750,3650,5750,6100,5850,5650
i93_nb_550,I-93 northbound between Interchange 40 on-ramp and Interchange 41 off-ramp,2,150,150,310,410,main,83500,3200,4900,5150,3750,6950,7600,7550,6300,i93_nb_550,88000,3700,5100,5450,4250,6450,7000,6800,6500
i93_nb_540,I-93 northbound between Interchange 40 off-ramp and Interchange 40 on-ramp,3,150,150,410,560,main,79500,3000,4400,4700,3450,6650,7350,7250,6000,i93_nb_540,83000,3400,4550,5000,3950,6200,6700,6500,6200
i93_nb_530,I-93 northbound between Interchange 39 on-ramp and Interchange 40 off-ramp,2,150,150,560,660,main,86500,3200,4750,5000,3700,7250,7950,7950,6500,i93_nb_530,90000,3600,4850,5400,4250,6800,7350,7200,6700
i93_nb_520,I-93 northbound between Interchange 39 off-ramp and Interchange 39 on-ramp,3,150,150,660,810,main,83000,3100,4550,4750,3550,6900,7500,7400,6200,i93_nb_520,86500,3500,4600,5200,4050,6450,6950,6700,6400
i93_nb_510,I-93 northbound between Interchange 38 on-ramp and Interchange 39 off-ramp,2,150,150,810,910,main,91000,2400,5000,5250,3950,7550,8200,8100,6800,i93_nb_510,96500,3900,5100,5850,4650,7200,7800,7500,6900
i93_nb_500,I-93 northbound between Interchange 38 off-ramp and Interchange 38 on-ramp,3,150,150,910,1060,main,83500,3050,4400,4600,3550,6850,7500,7400,6300,i93_nb_500,89500,3500,4400,5200,4250,6650,7200,6900,6400
i93_nb_490,I-93 northbound between Interchange 37C on-ramp and Interchange 38 off-ramp,2,150,150,1060,1160,main,91000,3350,4800,4950,3850,7400,8000,7900,6800,i93_nb_490,98000,3850,4800,5550,4550,7200,7750,7400,6900
R12210,On-ramp from Route 125 southbound,1,170,150,160,110,rampright,3000,100,150,150,100,350,400,450,200,R12210,5000,100,250,200,200,400,550,600,300
R12209,On-ramp from Route 125 northbound,1,170,150,210,160,rampright,500,50,50,50,50,50,50,50,50,R12209,1000,50,100,50,50,50,50,50,50
R12208,Off-ramp to Route 125,1,150,170,310,260,rampright,11000,500,600,500,500,700,800,800,700,R12208,11000,450,550,700,600,700,900,950,850
R12207,On-ramp from Route 62,1,170,150,460,410,rampright,4000,200,500,300,300,300,250,300,300,R12207,5000,300,550,450,300,250,300,300,300
R12206,Off-ramp to Route 62,1,150,170,560,510,rampright,7000,200,350,250,250,600,650,700,500,R12206,7000,200,300,400,300,600,650,700,500
R12205,On-ramp from Concord Street,1,170,150,710,660,rampright,3500,100,200,150,150,350,450,550,300,R12205,3500,100,250,200,200,350,400,500,300
R12204,Off-ramp to Concord Street,1,150,170,810,760,rampright,8000,300,450,400,400,650,700,700,600,R12204,10000,400,500,650,600,750,850,800,500
R12203,On-ramp from Route 129,1,170,150,960,910,rampright,7500,350,600,400,400,700,700,700,500,R12203,7000,400,700,650,400,550,600,600,500
R12202,Off-ramp to Route 129,1,150,170,1060,1010,rampright,7500,3000,400,300,300,550,500,500,500,R12202,8500,350,400,350,300,550,550,500,500
i93_nb_480,I-93 northbound between Interchange 37C off-ramp and Interchange 37C on-ramp,3,150,150,1160,1310,main,82500,3200,4600,4600,3600,6650,6950,6700,6000,i93_nb_480,90000,3650,4400,5100,4250,6500,6800,6400,5950
i93_nb_470,I-93 northbound between Interchange 37 on-ramp from I-95 southbound and Interchange 37C off-ramp,2,150,150,1310,1410,main,89000,3700,5400,5500,4200,7000,7200,6950,6200,i93_nb_470,97500,4100,4900,5700,4700,6800,7000,6600,6100
i93_nb_460,I-93 northbound between Interchange 37 off-ramp to I-95 southbound and Interchange 37 on-ramp from I-95 southbound,3,150,150,1410,1560,main,75500,3100,4850,4700,3500,6000,6100,5850,5400,i93_nb_460,83500,3500,4250,4900,3950,5850,5900,5550,5300
i93_nb_450,I-93 northbound between Interchange 37 on-ramp from I-95 northbound and Interchange 37 off-ramp to I-95 southbound,2,150,150,1560,1660,main,101500,4600,6350,6100,4900,7600,7500,7250,6900,i93_nb_450,109500,5100,5800,6000,5350,7450,7350,7000,6800
i93_nb_440,I-93 northbound between Interchange 37 off-ramp to I95 northbound and Interchange 37 on-ramp from I-95 northbound,3,150,150,1660,1810,main,83000,3800,5400,5100,3950,6200,6250,6000,5900,i93_nb_440,89500,4400,5000,5150,4300,6100,6000,5900,5650
i93_nb_430,I-93 northbound between Interchange 36 on-ramp and Interchange 37 off-ramp to I-95 northbound,2,150,150,1810,1910,main,101500,4500,6600,6100,4900,7700,7750,7500,7200,i93_nb_430,109500,5100,6300,6250,5200,7500,7400,7300,7050
i93_nb_420,I-93 northbound between Interchange 36 off-ramp and Interchange 36 on-ramp,3,150,150,1910,2060,main,89500,4100,6000,5300,4300,6800,6850,6500,6400,i93_nb_420,95500,4700,5650,5400,4500,6450,6400,6350,6250
i93_nb_410,I-93 northbound between Interchange 35 on-ramp and Interchange 36 off-ramp,2,150,150,2060,2160,main,102000,4700,6950,6200,4900,7600,7750,7300,7200,i93_nb_410,108000,5250,6700,6500,5150,7250,7100,7100,7050
i93_nb_400,I-93 northbound between Interchange 34 off-ramp and Interchange 35 on-ramp,3,150,150,2160,2310,main,93500,4100,6250,5300,4300,6900,6850,6700,6600,i93_nb_400,98000,4550,6000,5700,4450,6500,6400,6450,6500
i93_nb_390,I-93 northbound between Interchange 33 on-ramp and Interchange 34 off-ramp,2,150,150,2310,2410,main,98000,4200,6500,5500,4500,7300,7300,7200,7000,i93_nb_390,105000,4700,6300,5900,4600,6900,6900,7000,7000
R12201,On-ramp from Commerce Way,1,170,150,1210,1160,rampright,8500,150,200,350,250,750,1050,1200,800,R12201,8000,200,400,450,300,700,950,1000,950
R12200,Off-ramp to Commerce Way,1,150,170,1310,1260,rampright,6500,500,800,900,600,350,250,250,200,R12200,7500,450,500,600,450,300,200,200,150
R12739,On-ramp from I-95 southbound,1,170,150,1460,1410,rampright,13500,600,550,800,700,1000,1100,1100,800,R12739,14000,600,650,800,750,950,1100,1050,800
R12174,Off-ramp to I-95 southbound,1,150,170,1560,1510,rampright,2600,1500,1500,1400,1400,1600,1400,1400,1500,R12174,26000,1600,1550,1100,1400,1600,1450,1450,1500
R12698,On-ramp from I-95 northbound,1,170,150,1710,1660,rampright,18500,800,950,1000,950,1400,1250,1250,1000,R12698,20000,700,800,850,1050,1350,1350,1100,1150
R12173,Off-ramp to I-95 northbound,1,150,170,1810,1760,rampright,18500,700,1200,1000,950,1500,1500,1500,1300,R12173,20000,700,1300,1100,900,1400,1400,1400,1400
R12172,On-ramp from Montvale Avenue,1,170,150,1860,1910,rampright,1200,400,600,800,600,900,900,1000,800,R12172,14000,400,650,850,700,1050,1000,950,800
R12171,Off-ramp to Montvale Avenue,1,150,170,2060,2010,rampright,12500,600,950,900,600,800,700,800,800,R12171,12500,550,1050,1100,650,800,700,750,800
R12170,On-ramp from Nortth Border Road,1,170,150,2210,2160,rampright,9500,600,700,900,600,700,700,600,600,R12170,10000,700,700,800,700,750,700,650,550
R12169,Off-ramp to Route 28,1,150,170,2310,2260,rampright,4500,100,250,200,200,400,450,500,400,R12169,7000,150,300,200,150,400,500,550,500
i93_nb_380,I-93 northbound between Interchange 33 off-ramp and Interchange 33 on-ramp,3,150,150,2410,2560,main,84500,3350,5400,4699,3800,6500,6500,6400,6150,i93_nb_380,92000,3900,5300,4900,3900,6000,6100,6300,6100
i93_nb_370,I-93 northbound between Interchange 32 on-ramp and Interchange 33 off-ramp,2,150,150,2560,2660,main,94000,3500,5700,5000,4150,7300,7400,7400,700,i93_nb_370,102000,4100,5800,5400,4300,6850,7200,7400,7000
