unique_id,seg_y1,seg_y2,coord,town_before,town_after
boundary_i93_sb_180,10,200,60,Tewksbury,Wilmington
boundary_i93_sb_260,1100,1200,1150,Wilmington,Woburn
boundary_i93_sb_280,1350,1450,1400,Woburn,Reading
boundary_i93_sb_310,1700,1850,1775,Reading,Stoneham
boundary_i93_sb_320,1850,1950,1900,Stoneham,Woburn
boundary_i93_sb_350,2200,2300,2250,Woburn,Stoneham
boundary_i93_sb_370,2450,2550,2500,Stoneham,Medford
boundary_i93_sb_440,3250,3350,3300,Medford,Somerville
boundary_i93_sb_470,3600,3750,3675,Somerville,Boston
boundary_i93_sb_730,7200,7350,7275,Boston,Quincy
boundary_sr3_sb_010,7800,7900,7850,Quincy,Braintree
boundary_sr3_sb_060,8400,8500,8450,Braintree,Weymouth
boundary_sr3_sb_100,8900,9000,8950,Weymouth,Hingham
boundary_sr3_sb_120,9150,9250,9200,Hingham,Rockland/Norwell
boundary_sr3_sb_140,9400,9500,9450,Rockland/Norwell,Hanover/Norwell
boundary_sr3_sb_160,9650,9750,9700,Hanover/Norwell,Pembroke
