unique_id,description,x1,x2,y1,y2,type,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm,awdt_2018,peak_2018_6_to_7_am,peak_2018_7_to_8_am,peak_2018_8_to_9_am,peak_2018_9_to_10_am,peak_2018_3_to_4_pm,peak_2018_4_to_5_pm,peak_2018_5_to_6_pm,peak_2018_6_to_7_pm
i93_sb_180,I-93 southbound north of Interchange 41 off-ramp,150,150,10,250,main,77000,7400,7000,6300,4900,4500,4750,5200,4000,88000,6500,6500,6300,5700,4800,5400,5500,4600
i93_sb_190,I-93 southbound between Interchange 41 off- and on-ramps,150,150,250,400,main,72000,6900,6400,5700,4500,4250,4450,4900,3850,82500,5900,6000,5600,5400,4550,5100,5150,4450
i93_sb_200,I-93 southbound betwen Interchange 41 on-ramp and Interchange 40 off-ramp,150,150,400,500,main,82500,7650,7300,6600,5200,4900,5200,5750,4400,93000,6600,7100,6700,6200,5300,5900,6000,5100
i93_sb_210,I-93 southbound between Interchange 40 off- and on-ramps,150,150,500,650,main,78000,7400,700,6300,4950,4600,4850,5350,4150,88500,6400,6850,6450,5950,4800,5450,5600,4750
i93_sb_220,I-93 southbound btween Interchange 40 on-ramp and Interchange 39 off-ramp,150,150,650,750,main,85000,8050,7750,7000,5450,4900,5150,5650,4450,95000,7100,7700,7300,6500,5000,5700,5900,5000
i93_sb_230,I-93 southbound between Interchange 39 off- and on-ramps,150,150,750,900,main,81500,7700,7300,6500,5150,4750,4950,5450,4300,91000,6850,7200,6750,6050,4750,5450,4600,4800
i93_sb_240,I-93 southbound between Interchange 39 off- and on-ramps,150,150,900,1000,main,90000,8200,7950,7200,5650,5200,5450,6100,4750,97000,7250,7700,7450,6650,5050,5750,6200,5200
i93_sb_250,I-93 southbound between Interchange 38 off- and on-ramps,150,150,1000,1150,main,83000,7600,7300,6600,5200,4700,4950,5600,4350,89000,6850,7300,6900,6250,4450,5150,5500,4700
i93_sb_260,I-93 southbound between Interchange 38 on-ramp and Interchange 37C off-ramp,150,150,1150,1250,main,90000,8100,7900,7200,5600,5200,5500,6200,4800,98000,7500,8100,7600,6800,4900,5550,6150,5050
R12244,Interchange 41 off-ramp to Route 125,150,130,250,275,rampleft,5000,500,600,600,400,250,300,300,150,5500,600,500,700,300,250,300,350,150
R12245,Interchange 41 on-ramp from Route 125,130,150,375,400,rampleft,10500,750,900,900,700,650,750,850,550,10500,700,1100,1100,800,750,800,850,650
R12246,Interchange 40 off-ramp to Route 62,150,130,500,525,rampleft,4500,250,300,300,250,300,350,400,250,4500,200,250,250,250,500,450,400,350
R12247,Interchange 40 on-ramp from Route 62,130,150,625,650,rampleft,7000,650,750,700,500,300,300,300,300,6500,700,850,850,550,200,250,300,250
R12248,Interchange 39 off-ramp to Concord Street,150,130,750,775,rampleft,3500,350,450,500,300,150,200,200,150,4000,250,500,550,450,250,250,300,200
R12249,Interchange 39 on-ramp from Concord Street,130,150,875,900,rampleft,8500,500,650,700,500,450,500,650,450,6000,400,500,700,600,300,300,600,400
R12250,Interchange 38 off-ramp to Route 129,150,130,1000,1025,rampleft,7000,600,650,600,450,500,500,500,400,8000,400,400,550,400,600,600,700,500
R12251,Interchange 38 on-ramp from Route 129,130,150,1125,1150,rampleft,7000,500,600,600,400,500,550,600,450,9000,650,800,700,550,450,400,650,350
i93_sb_270,I-93 southbound between interchange 37C off- and on-ramps,150,150,1250,1400,main,82000,7250,6700,6000,5000,4900,5150,5900,4550,90000,6600,6800,6300,6150,4600,5250,6850,4850
i93_sb_280,I-93 southbound between Interchange 37C on-ramp and Interchange 37 off-ramp to I-95 soutbound,150,150,1400,1500,main,88000,7400,6900,6200,5200,5400,5750,6700,5050,96500,6800,7000,6500,6400,5100,6000,6800,5500
i93_sb_290,I-93 southbound between Interchange 37 off-ramp to I-95 southbound and Interchange 37 on-ramp from I-95 southbound,150,150,1500,1650,main,68000,6000,5300,4600,3700,4200,4450,5300,4050,74500,5500,5000,4500,4400,4000,4700,5500,4600
i93_sb_300,I-93 southbound between Interchange 37 on-ramp from I-95 southbound and Interchange 37 off-ramp to I-95 northbound,150,150,1650,1750,main,87000,7000,6000,5400,4800,5400,5750,6650,5350,91500,6250,5500,4900,5200,5200,5800,6900,5850
i93_sb_310,I-93 southbound between Interchange 37 off-ramp to I-95 northbound and Interchange 37 on-ramp from I-95 norhbound,150,150,1750,1900,main,73500,6350,5250,4600,4000,440,4750,5650,4450,78500,5650,4700,4100,4400,4200,4900,6000,5100
i93_sb_320,I-93 southbound between Interchange 37 on-ramp from I-95 northbound and Interchange 36 off-ramp to Montvale Avenue,150,150,1900,2000,main,100000,7800,6450,5900,5600,6100,6450,7300,6250,103500,6400,5500,5000,5600,5700,6600,7400,6600
i93_sb_330,I-93 southbound between Interchange 36 off-ramp to Montvale Avenue and Interchange 36 on-ramp from Montvale Avenue westbound,150,150,2000,2150,main,88500,7200,5550,5000,4900,5400,5750,6500,5650,93000,5700,4500,4100,4800,4950,5800,6600,6100
i93_sb_340,I-93 southbound between Interchange 36 on-ramps from Montvalue Avenue westbound and eastbound,150,150,2150,2250,main,92500,7450,5700,5200,5100,5700,6000,6850,5950,97000,5900,4600,4200,4950,5300,6050,7000,6450
i93_sb_350,I-93 southbound between Interchange 36 on-ramp from Montvale Avenue eastbond and Interchange 35 off-ramp,150,150,2250,2350,main,100000,7850,6100,5600,5500,6250,6550,7400,6450,105000,6300,4850,4400,5200,5850,6500,7600,7100
i93_sb_360,I-93 southbound between Interchange 35 off-ramp and Interchange 34 on-ramp,150,150,2350,2500,main,90500,7350,5450,5000,5100,5550,5800,6600,5850,95000,5700,4150,3600,4700,5200,5800,6800,6600
i93_sb_370,I-93 southbound between Interchange 34 on-ramp and Interchange 33 off-ramp,150,150,2500,2600,main,95000,770,5800,5400,5400,5800,6000,6800,6100,99000,6000,4400,3800,4900,5500,6000,7100,6900
R12252,Interchange 37C off-ramp to Commerce Way,150,130,1250,1275,rampleft,8000,850,1200,1200,600,300,350,300,250,8000,900,1300,1300,650,300,300,300,200
R12253,Interchange 37C on-ramp from Commerce Way,130,150,1375,1400,rampleft,6000,150,200,200,200,500,600,800,500,6500,200,200,200,250,500,750,950,650
R12175,Interchange 37 off-ramp to I-95 southbound,150,130,1500,1525,rampleft,20000,1400,1600,1600,1500,1200,1300,1400,1000,22000,1300,2000,2000,2000,1100,1300,1300,900
